scenario_id,strategy,latency_ms,cpu_ms,error,
S00156,Reference,6.015,1.825,None,
S00156,Hybrid,2.168,0.72,None,
S00157,Embed,1.528,0.563,None,
S00157,Reference,15.914,4.728,None,
S00157,Hybrid,17.115,5.525,None,
S00158,Embed,1.619,0.624,None,
S00158,Reference,73.633,20.193,None,
S00158,Hybrid,54.235,15.535,None,
S00159,Embed,1.528,0.574,None,
S00159,Reference,2.08,0.653,None,
S00159,Hybrid,1.745,0.578,None,
S00160,Embed,1.512,0.541,None,
S00160,Reference,16.676,4.882,None,
S00160,Hybrid,15.094,4.603,None,
S00161,Embed,1.565,0.584,None,
S00161,Reference,67.335,18.991,None,
S00161,Hybrid,63.277,17.865,None,
S00162,Embed,1.555,0.587,None,
S00162,Reference,7.203,0.891,None,
S00162,Hybrid,6.07,0.697,None,
S00163,Embed,1.857,0.691,None,
S00163,Reference,23.703,6.144,None,
S00163,Hybrid,17.1,4.19,None,
S00164,Embed,1.701,0.638,None,
S00164,Reference,73.416,19.746,None,
S00164,Hybrid,60.487,16.401,None,
S00165,Embed,1.6,0.621,None,
S00165,Reference,7.072,0.845,None,
S00165,Hybrid,5.565,0.981,None,
S00166,Embed,1.635,0.605,None,
S00166,Reference,23.286,5.832,None,
S00166,Hybrid,16.194,3.795,None,
S00167,Embed,1.666,0.642,None,
S00167,Reference,87.534,23.096,None,
S00167,Hybrid,58.364,15.575,None,
S00168,Embed,1.567,0.588,None,
S00168,Reference,3.85,0.707,None,
S00168,Hybrid,2.415,0.499,None,
S00169,Embed,1.311,0.471,None,
S00169,Reference,43.299,4.054,None,
S00169,Hybrid,18.851,3.034,None,
S00170,Embed,1.329,0.462,None,
S00170,Reference,156.725,21.399,None,
S00170,Hybrid,76.264,12.115,None,
S00171,Embed,1.498,0.558,None,
S00171,Reference,4.237,0.788,None,
S00171,Hybrid,2.418,0.538,None,
S00172,Embed,1.607,0.569,None,
S00172,Reference,27.905,4.513,None,
S00172,Hybrid,21.196,3.483,None,
S00173,Embed,1.699,0.635,None,
S00173,Reference,148.76,18.949,None,
S00173,Hybrid,92.525,16.204,None,
S00174,Embed,2.49,0.821,None,
S00174,Reference,9.988,0.909,None,
S00174,Hybrid,7.79,0.926,None,
S00175,Embed,1.556,0.588,None,
S00175,Reference,36,4.569,None,
S00175,Hybrid,23.575,2.935,None,
S00176,Embed,1.705,0.635,None,
S00176,Reference,147.283,19.279,None,
S00176,Hybrid,64.805,10.043,None,
S00177,Embed,1.583,0.583,None,
